|id |name                                     |technique                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|---|-----------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|18 |45-Degree Leg Press                      |"{\"grip\": \"\", \"tldr\": {\"focus\": \"Keep the lower back and hips flat against the pad throughout the descent instead of allowing the pelvis to tuck under.\", \"setup\": \"Sit in the sled with the back and hips flat against the pad and feet placed shoulder-width on the platform.\", \"execution\": \"Lower the sled by bending the hips and knees until a controlled depth is reached, then press it back up through the feet without locking the knees aggressively.\", \"stop_when\": \"The lower back rounds off the pad or the sled can no longer be pressed back to the starting position.\"}, \"stance\": \"Feet placed shoulder-width apart on the platform, positioned centrally or slightly toward the middle-to-upper portion of the plate depending on comfort, toes pointed slightly outward or straight ahead.\", \"bracing\": \"Lower back and hips pressed firmly into the pad throughout the movement, with abdominal bracing maintained to prevent the pelvis from tucking or the lower back from rounding off the pad at the bottom of the range.\", \"overview\": \"This is the 45-degree plate-loaded leg press, performed on an angled sled machine in which the lifter pushes the weighted platform away along a fixed linear track. The fixed sled path removes the balance and bracing demands of a free-standing squat while preserving a similar hip-and-knee-dominant flexion/extension pattern. It differs from a horizontal or vertical leg press primarily in the angle of the sled track, which affects trunk position and the relative demand on the hip versus knee extensors.\", \"eccentric\": \"The sled lowers under control back toward the body through hip and knee flexion, with the knees traveling toward the chest along the fixed sled path while the lower back remains in contact with the pad.\", \"concentric\": \"The sled is pressed away from the body through simultaneous hip and knee extension, with the feet driving evenly into the platform and the lower back remaining flat against the pad throughout.\", \"tempo_notes\": \"Avoid bouncing the sled off the bottom stops or using the safety catches to generate rebound momentum; a controlled descent and press are expected throughout.\", \"end_position\": \"Legs extended with the knees not aggressively locked, sled at the top of its travel with the hips still flat against the pad.\", \"safety_notes\": [\"Engage the safety catches or stops appropriately when racking or approaching technical failure.\", \"Avoid locking the knees explosively at the top of the range under heavy load.\", \"Keep the entire foot in contact with the platform to avoid unstable load distribution.\"], \"external_cues\": \"Press the platform up and away; keep the hips pinned to the pad throughout the movement.\", \"internal_cues\": \"Push the platform away using the whole foot; think of driving the knees away from the chest rather than just straightening the legs.\", \"common_mistakes\": [\"Allowing the lower back to round and lift off the pad at the bottom of the range.\", \"Locking the knees aggressively at the top of each repetition.\", \"Letting the knees cave inward during the press.\", \"Bouncing the sled off the safety stops or the bottom of the range to generate momentum.\", \"Placing the feet very low on the platform, causing the heels to lift off the plate.\"], \"equipment_setup\": \"45-degree sled leg press machine with the seat back angle fixed by the machine design, safety catches or stops set appropriately, footplate positioned to allow full contact of the feet.\", \"range_of_motion\": \"From the top position with the legs extended to the point at which the hips can no longer flex further without the lower back rounding off the pad, defining the exercise-specific usable depth.\", \"rir_0_definition\": \"Inability to press the sled back to the extended position while keeping the lower back against the pad, as distinct from continuing to move the sled by rounding the lower back off the pad.\", \"rir_1_indicators\": \"Slower sled speed through the bottom portion of the range, minor but still acceptable inward knee drift, and increasing effort to keep the lower back against the pad, while the ROM and hip contact remain intact.\", \"individualization\": \"Foot placement height and width on the platform, and the depth of the descent, may vary moderately with limb proportions and hip mobility, provided the lower back remains against the pad throughout the range that is used.\", \"plane_of_movement\": \"Primarily sagittal-plane hip and knee flexion/extension, occurring along the fixed diagonal path of the sled.\", \"starting_position\": \"Seated with the lower back and hips flat against the pad, feet placed on the platform at a shoulder-width stance, knees tracking in line with the toes, sled unracked with the legs extended but knees not locked aggressively.\", \"technical_failure\": \"The point at which the lower back rounds and lifts off the pad during the descent, the knees cave inward under load, or the sled can no longer be pressed back to the extended position.\", \"primary_joint_actions\": \"Combined hip extension and knee extension during the concentric phase, with hip and knee flexion during the eccentric phase; the ankles move through dorsiflexion and plantarflexion as the knees travel toward the chest and back; the lumbar spine and pelvis remain stabilized against the pad throughout.\"}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|9  |Pendlay Row                              |"{\"grip\": \"Pronated grip slightly wider than shoulder width, adjustable moderately based on torso length and shoulder comfort while keeping the pulling path directed toward the lower ribcage.\", \"tldr\": {\"focus\": \"Keep the torso angle fixed and parallel to the floor throughout the pull instead of rising toward vertical.\", \"setup\": \"Hinge at the hips until the torso is roughly parallel to the floor with the bar resting on the ground below the shoulders.\", \"execution\": \"Pull the bar explosively off the floor into the lower ribcage/upper abdomen, then return it fully to the floor and reset before each repetition.\", \"stop_when\": \"The torso angle rises noticeably to help lift the bar or the bar can no longer be pulled to the torso from a dead stop.\"}, \"stance\": \"Feet roughly hip- to shoulder-width apart, positioned to allow the bar to travel in a straight vertical line without hitting the shins.\", \"bracing\": \"Abdominal bracing combined with a fixed neutral spine and locked hip hinge angle; the torso must not rise or the lower back round as the bar is pulled from the floor.\", \"overview\": \"This is the Pendlay row, a barbell row variant performed from a torso position held approximately parallel to the floor, in which the bar returns to and rests on the floor between every repetition rather than remaining suspended. Each repetition begins from a dead stop with the spine and hips in a fixed hinge position, distinguishing it from a bent-over row performed with continuous tension and a more upright torso, and from a chest-supported row in which the torso is externally braced.\", \"eccentric\": \"The bar is lowered under control back to the floor along the same vertical path, with the elbows extending and the shoulders returning to a neutral hang while the torso angle stays constant until the bar makes full contact with the floor.\", \"concentric\": \"The bar is pulled explosively from the floor toward the lower ribcage/upper abdomen through simultaneous glenohumeral extension and elbow flexion, with the torso angle and hip hinge remaining fixed throughout the pull.\", \"tempo_notes\": \"The concentric pull is typically performed with intent to move the bar quickly from the floor, while the bar is set down under control rather than dropped; a brief pause with the bar on the floor between repetitions is a defining feature of this variant.\", \"end_position\": \"Bar making light contact with the lower ribcage/upper abdomen with the elbows driven up and back and the shoulder blades retracted.\", \"safety_notes\": [\"Maintain a neutral spine throughout the hinge position given the loaded flexed-hip posture.\", \"Ensure the bar path stays close to the shins and thighs without striking them during the pull.\", \"Use plates that keep the bar at a consistent floor height to avoid an inconsistent starting range.\"], \"external_cues\": \"Pull the bar into the lower ribs; keep the torso locked at the same angle relative to the floor throughout the set.\", \"internal_cues\": \"Pull the elbows back and up toward the ceiling while keeping the torso angle fixed; think of holding the hips and spine in the same position from the first pull to the last.\", \"common_mistakes\": [\"Allowing the torso to rise toward vertical during the pull, converting the movement into a more upright row.\", \"Rounding the lower back as the bar leaves the floor.\", \"Using momentum from a bouncing torso instead of a fixed hinge position.\", \"Shrugging the shoulders upward instead of driving the elbows back.\", \"Failing to return the bar fully to the floor between repetitions.\", \"Pulling the bar toward the mid-chest instead of the lower ribcage/upper abdomen.\"], \"equipment_setup\": \"Bar loaded on the floor, plates sized so the bar sits at a fixed, consistent height for each dead-stop repetition.\", \"range_of_motion\": \"From the bar resting fully on the floor at the bottom to contact with the lower ribcage at the top, with each repetition beginning from a true dead stop rather than a suspended position.\", \"rir_0_definition\": \"Inability to pull the bar from the floor to the torso while maintaining the established torso angle and neutral spine, as distinct from moving the bar upward at all costs through torso extension or lumbar rounding.\", \"rir_1_indicators\": \"Reduced bar speed off the floor, a longer pause before the bar clears the initial inches of travel, and increasing but still controlled effort to hold the torso angle, while the hinge position and pull path remain intact.\", \"individualization\": \"Torso angle, stance width, and grip width may vary moderately with limb proportions and hip mobility, provided the torso angle remains fixed throughout each repetition and the spine stays in a neutral, extended position rather than rounding under load.\", \"plane_of_movement\": \"Primarily sagittal-plane glenohumeral extension and elbow flexion, with the torso and hips held in a fixed sagittal-plane hinge that does not contribute movement to the pull itself.\", \"starting_position\": \"Feet positioned under the bar, hips hinged back with the torso angled to approximately parallel with the floor, spine held in a neutral, extended position, arms hanging vertically to grip the bar directly below the shoulders, bar resting on the floor.\", \"technical_failure\": \"The point at which the torso angle rises toward vertical to assist the pull, the lower back rounds or extends beyond its starting position, or the bar can no longer be pulled from the floor to the torso without a change in hip or spine position.\", \"primary_joint_actions\": \"Glenohumeral extension combined with horizontal extension as the upper arm moves posteriorly toward the torso; elbow flexion driven by the biceps and brachialis; scapulae retract as the bar approaches the torso; the hips and spine remain in an isometric hinge position, with the erector spinae, glutes, and hamstrings acting as stabilizers rather than prime movers.\"}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|61 |Heavy Dumbbell Lateral Raise             |"{\"grip\": \"Neutral to lightly pronated, handles held centred in the palm with the wrists in line with the forearms. The wrist should not be actively cocked upward or allowed to collapse; the dumbbell stays approximately level rather than tipping so that one end leads the raise.\", \"tldr\": {\"focus\": \"Any body English must be a small, controlled assist at the bottom only; the lift above the mid-range must still be produced by the shoulders.\", \"setup\": \"Stand tall with a dumbbell in each hand at the sides, feet hip-width, elbows in a slight fixed bend.\", \"execution\": \"Raise both dumbbells out to the sides to about shoulder height, permitting a small, deliberate torso and hip pulse to pass the hardest portion of the range.\", \"stop_when\": \"The dumbbells no longer reach approximately shoulder height, or the trunk swing becomes the primary mover rather than a small assist.\"}, \"stance\": \"Feet approximately hip- to shoulder-width, weight through the whole foot, knees softly flexed and available for a small dip that initiates the assist.\", \"bracing\": \"Maintain abdominal tension sufficient to keep the ribcage from flaring and the lumbar spine from hyperextending during the trunk pulse, so the body English occurs as a small, controlled hip and trunk cycle rather than a lumbar arch. Light glute engagement anchors the pelvis. The scapulae stay set and depressed at the start of the ascent so the assist does not become a shrug.\", \"overview\": \"A standing bilateral shoulder-abduction exercise performed with a load heavier than a strict lateral raise permits, in which a limited amount of trunk and hip movement is accepted to carry the dumbbells through the portion of the range where the deltoid's leverage is poorest. This is deliberately distinct from the strict standing variant, in which the torso is held rigidly upright and no body movement is tolerated, and from the forward-leaning variant, in which a static torso lean is used to align the resistance more favourably with the line of lateral deltoid pull. Here the torso begins approximately upright and a small, controlled hip and trunk pulse initiates the ascent, after which the shoulders complete and control the rest of the range. The permitted body English is a bounded technical feature, not an absence of standards: the eccentric remains fully controlled by the shoulders and the top position is still reached by abduction rather than by momentum alone.\", \"eccentric\": \"Lower both dumbbells under shoulder control along the same arc back to the sides, with no assistance from the trunk and no free-fall. The torso is upright and stationary during the descent; hip and knee movement occurs only at the transition into the next repetition. The scapulae downwardly rotate under control and the shoulders do not roll forward at the bottom.\", \"concentric\": \"Initiate with a small, controlled dip and drive through the knees and hips, timed so the resulting momentum carries the dumbbells through the lower and early mid-range where the deltoid moment arm is least favourable. As the arms pass roughly 45 degrees of abduction, the trunk returns to its starting alignment and the shoulders complete the raise to approximately shoulder height. The dumbbells travel outward and slightly forward of the frontal plane, the elbow angle stays fixed, and the arms rise as units with the elbows leading marginally ahead of the hands. The dumbbells should not be flung; the upper half of the range must be under active shoulder control.\", \"tempo_notes\": \"The assist is a single, timed dip and drive at the initiation of the ascent, not a continuous rhythmic bounce across repetitions. The eccentric is deliberately controlled at normal speed, since it is the phase in which the shoulder handles the load without assistance.\", \"end_position\": \"Upper arms at approximately shoulder height in or slightly forward of the frontal plane, elbows still in their fixed bend, shoulders not shrugged toward the ears, torso returned to its starting alignment.\", \"safety_notes\": [\"Keep the trunk pulse a hip and knee action; repeated lumbar hyperextension under an anteriorly displaced load is the main injury-relevant pattern here.\", \"Terminate the set when the eccentric can no longer be controlled by the shoulders, since uncontrolled descent from shoulder height loads the glenohumeral joint in abduction.\", \"Set the dumbbells down by hinging at the hips with a neutral spine rather than releasing them from the hanging position.\", \"Keep the arms in or slightly forward of the scapular plane rather than forcing them behind it during the assisted portion.\"], \"external_cues\": \"Push the dumbbells out and away to shoulder height rather than up; stop the dumbbells cleanly at the top instead of letting them travel on.\", \"internal_cues\": \"Time one small knee and hip drive to the start of the raise, then finish with the shoulders; keep the shoulders down as the arms rise; lower with the shoulders alone.\", \"common_mistakes\": [\"Letting the trunk swing through a large flexion-extension arc so momentum, rather than the shoulders, carries the arms through the entire range.\", \"Hyperextending the lumbar spine during the drive instead of keeping the ribcage stacked over the pelvis.\", \"Dropping the dumbbells on the descent rather than lowering them under shoulder control.\", \"Shrugging the shoulders so the arms are elevated by scapular elevation rather than glenohumeral abduction.\", \"Progressively opening the elbow angle during the set to shorten the resistance lever.\", \"Continuing the raise well above shoulder height on the momentum of the assist.\", \"Turning the assist into a continuous bounce so each repetition begins before the previous one has been controlled.\"], \"equipment_setup\": \"\", \"range_of_motion\": \"From the arms hanging at the sides to approximately shoulder height, where scapular upward rotation begins to dominate over glenohumeral abduction. The permitted body English exists to complete this range under heavier load, not to extend it; raising the dumbbells above shoulder height with a larger swing is outside the intended ROM. At the bottom, the arms return to the sides between repetitions rather than stopping at a partial position.\", \"rir_0_definition\": \"RIR 0 is the last repetition in which the dumbbells reach approximately shoulder height with the upper half of the range produced by shoulder abduction after a small assist, and with a controlled eccentric. Further repetitions may still be possible using a full-body swing, a pronounced shrug, or a partial raise with a dropped descent, but those no longer represent this exercise.\", \"rir_1_indicators\": \"The dumbbells decelerate markedly in the upper third of the range and the top position becomes harder to hold cleanly. The assist naturally becomes slightly larger while remaining a discrete pulse rather than a swing, and terminal height may sit fractionally lower, while the eccentric is still shoulder-controlled and the arms still reach approximately shoulder height. Grip and upper-trapezius tension typically become noticeable. These signs are consistent with roughly one technically valid repetition remaining, though the estimate is imprecise and less sharply defined here than in the strict variant.\", \"individualization\": \"The magnitude of permitted body English varies with the load used and with individual trunk control; the defining constraint is that it remains a discrete, timed assist through the low mid-range with the upper portion and the entire eccentric under shoulder control. The arm path may sit anywhere from the frontal plane to roughly 20-30 degrees forward of it depending on scapular orientation and shoulder comfort. Fixed elbow angle may range from nearly straight to about 30 degrees of flexion provided it does not change within a set. Terminal height varies slightly with shoulder structure; stopping just below shoulder level is legitimate where scapular elevation would otherwise dominate. Stance width, degree of knee softening, and grip orientation are matters of preference. A small controlled assist is the defining feature of this variant, not a fault; an uncontrolled full-body swing is a technical error, and holding a rigidly static torso throughout constitutes the strict variant rather than this one.\", \"plane_of_movement\": \"Primarily frontal- and scapular-plane shoulder abduction, with the arms typically travelling slightly forward of the pure frontal plane; a small sagittal-plane hip and trunk component is deliberately permitted at the initiation of the ascent.\", \"starting_position\": \"Standing tall with the dumbbells hanging at or just in front of the thighs, palms facing the body or slightly rotated inward. Elbows in a slight fixed bend of roughly 10-20 degrees. Torso approximately vertical or with a very small forward inclination, ribcage stacked over the pelvis, pelvis neutral, shoulders set down rather than shrugged. Knees softly unlocked so a small dip and drive is available.\", \"technical_failure\": \"Failure occurs when the shoulders can no longer complete the upper half of the range after the assist, or when the assist grows beyond a small controlled pulse. Observable breakdowns include the dumbbells failing to reach approximately shoulder height, the trunk swinging through a large flexion-extension arc so momentum carries the arms through the whole range, the lumbar spine hyperextending as the arms rise, the shoulders shrugging so the trapezius elevates the arms, elbow angle progressively increasing to shorten the lever, the eccentric being dropped rather than lowered, or the arms rising asymmetrically with one side jerked up.\", \"primary_joint_actions\": \"Glenohumeral abduction in or near the scapular plane, accompanied by scapular upward rotation as the arms approach shoulder height. The elbow holds a fixed slight flexion angle and the radioulnar joints hold a static pronated-to-neutral position. The hips and lumbar spine perform a small, controlled extension-flexion cycle at the start of each repetition rather than remaining purely isometric; the abdominal wall and erector spinae control that motion and return the trunk to its starting alignment.\"}"|
