|slug                                         |name_full                                                      |resistance_source   |load_capacity_kg|active_tension_exposure_vector                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|---------------------------------------------|---------------------------------------------------------------|--------------------|----------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|kneeling_machine_hip_thrust                  |Kneeling Machine Hip Thrust with Hip-Pad and Upper-Back Support|Plate_Loaded_Machine|80              |"{\"obliques\": 3.00, \"erector_spinae\": 19.00, \"gluteus_medius\": 11.00, \"semitendinosus\": 8.00, \"adductor_magnus\": 42.00, \"gluteus_maximus\": 124.00, \"gluteus_minimus\": 1.50, \"semimembranosus\": 29.00, \"transverse_abdominis\": 2.50, \"biceps_femoris_long_head\": 18.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|single_arm_cable_triceps_pushdown            |Standing Single-Arm Cable Triceps Pushdown                     |Cable               |20              |"{\"obliques\": 9.00, \"rotator_cuffs\": 6.00, \"wrist_flexors\": 1.63, \"erector_spinae\": 6.00, \"gluteus_medius\": 2.00, \"wrist_extensors\": 1.61, \"latissimus_dorsi\": 7.00, \"deltoid_posterior\": 1.50, \"triceps_long_head\": 15.24, \"triceps_medial_head\": 8.26, \"transverse_abdominis\": 2.00, \"triceps_lateral_head\": 19.13}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|plate_weighted_roman_chair_back_extension    |Roman Chair Plate-Weighted Back Extension                      |Other               |25              |"{\"obliques\": 4.50, \"erector_spinae\": 69.00, \"semitendinosus\": 13.50, \"adductor_magnus\": 43.00, \"gluteus_maximus\": 95.00, \"semimembranosus\": 48.00, \"transverse_abdominis\": 3.50, \"biceps_femoris_long_head\": 28.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|standing_single_arm_dumbbell_side_bend       |Standing Single-Arm Dumbbell Side Bend                         |Dumbbell            |30              |"{\"obliques\": 41.00, \"wrist_flexors\": 3.00, \"erector_spinae\": 24.00, \"gluteus_medius\": 4.00, \"brachioradialis\": 1.50, \"trapezius_upper\": 2.00, \"latissimus_dorsi\": 4.50, \"rectus_abdominis\": 2.00, \"transverse_abdominis\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|incline_bench_dumbbell_spider_curl           |Incline Bench Chest-Supported Bilateral Dumbbell Spider Curl   |Dumbbell            |20              |"{\"brachialis\": 34.00, \"wrist_flexors\": 3.80, \"biceps_brachii\": 25.00, \"brachioradialis\": 4.00, \"deltoid_anterior\": 0.80, \"pronators_supinators\": 3.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|selectorized_preacher_curl                   |Selectorized Seated Bilateral Preacher Curl                    |Selectorized_Machine|35              |"{\"brachialis\": 36.50, \"wrist_flexors\": 3.80, \"biceps_brachii\": 30.50, \"brachioradialis\": 5.20, \"pronators_supinators\": 2.30}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|standing_ab_wheel_rollout                    |Standing Bodyweight Ab Wheel Rollout                           |Other               |70              |"{\"obliques\": 39.50, \"iliopsoas\": 10.00, \"wrist_flexors\": 4.00, \"erector_spinae\": 9.00, \"rectus_femoris\": 5.00, \"gluteus_maximus\": 7.50, \"deltoid_anterior\": 6.00, \"latissimus_dorsi\": 33.00, \"rectus_abdominis\": 18.98, \"serratus_anterior\": 18.00, \"triceps_long_head\": 10.20, \"transverse_abdominis\": 9.10, \"pectoralis_major_sternal\": 19.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|plate_weighted_standing_ab_wheel_rollout     |Standing Plate-Weighted Ab Wheel Rollout                       |Other               |10              |"{\"obliques\": 42.40, \"iliopsoas\": 11.00, \"wrist_flexors\": 4.50, \"erector_spinae\": 10.00, \"rectus_femoris\": 5.50, \"gluteus_maximus\": 9.89, \"deltoid_anterior\": 6.50, \"latissimus_dorsi\": 34.18, \"rectus_abdominis\": 20.38, \"serratus_anterior\": 19.50, \"triceps_long_head\": 11.06, \"transverse_abdominis\": 9.99, \"pectoralis_major_sternal\": 21.47}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|close_grip_barbell_bench_press               |Flat Barbell Close-Grip Bench Press                            |Barbell             |75              |"{\"rhomboids\": 2.00, \"rotator_cuffs\": 20.00, \"wrist_flexors\": 5.44, \"erector_spinae\": 4.00, \"deltoid_anterior\": 20.10, \"latissimus_dorsi\": 2.63, \"trapezius_middle\": 2.00, \"serratus_anterior\": 9.50, \"triceps_long_head\": 30.49, \"triceps_medial_head\": 11.85, \"triceps_lateral_head\": 27.44, \"pectoralis_major_sternal\": 26.74, \"pectoralis_major_clavicular\": 5.14}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|selectorized_seated_hip_abduction            |Selectorized Seated Hip Abduction                              |Selectorized_Machine|70              |"{\"obliques\": 2.00, \"sartorius\": 1.50, \"gluteus_medius\": 88.00, \"gluteus_maximus\": 13.00, \"gluteus_minimus\": 17.00, \"transverse_abdominis\": 1.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|forearm_plank                                |Bodyweight Forearm Plank                                       |Bodyweight          |60              |"{\"obliques\": 44.89, \"rotator_cuffs\": 4.00, \"wrist_flexors\": 1.50, \"erector_spinae\": 3.00, \"gluteus_maximus\": 5.57, \"deltoid_anterior\": 4.00, \"rectus_abdominis\": 18.42, \"serratus_anterior\": 12.19, \"transverse_abdominis\": 14.94}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|leg_press_calf_raise                         |Bilateral Calf Raise on 45-Degree Leg Press                    |Plate_Loaded_Machine|180             |"{\"soleus\": 153.00, \"gastrocnemius\": 130.00, \"tibialis_anterior\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|barbell_bulgarian_split_squat                |Barbell Rear-Foot-Elevated Bulgarian Split Squat               |Barbell             |55              |"{\"soleus\": 52.00, \"obliques\": 10.00, \"iliopsoas\": 14.00, \"rhomboids\": 6.00, \"gastrocnemius\": 21.00, \"rotator_cuffs\": 8.00, \"wrist_flexors\": 4.00, \"erector_spinae\": 38.00, \"gluteus_medius\": 48.00, \"rectus_femoris\": 13.50, \"semitendinosus\": 5.20, \"adductor_magnus\": 30.00, \"gluteus_maximus\": 62.00, \"gluteus_minimus\": 8.50, \"semimembranosus\": 17.50, \"trapezius_upper\": 6.00, \"vastus_medialis\": 32.00, \"rectus_abdominis\": 5.00, \"trapezius_middle\": 6.00, \"vastus_lateralis\": 66.00, \"deltoid_posterior\": 4.00, \"tibialis_anterior\": 8.00, \"vastus_intermedius\": 19.00, \"transverse_abdominis\": 6.00, \"adductor_longus_brevis\": 12.00, \"biceps_femoris_long_head\": 10.50, \"biceps_femoris_short_head\": 4.00}"                                                                                                                           |
|selectorized_reverse_pec_deck_fly            |Selectorized Seated Reverse Pec Deck Rear-Delt Fly             |Selectorized_Machine|45              |"{\"rhomboids\": 13.00, \"rotator_cuffs\": 12.00, \"wrist_flexors\": 0.29, \"biceps_brachii\": 1.50, \"erector_spinae\": 2.00, \"deltoid_lateral\": 6.86, \"trapezius_lower\": 5.50, \"trapezius_upper\": 0.97, \"latissimus_dorsi\": 2.63, \"trapezius_middle\": 17.02, \"deltoid_posterior\": 18.98}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|flat_dumbbell_bench_press                    |Flat Bench Bilateral Dumbbell Bench Press                      |Dumbbell            |70              |"{\"rhomboids\": 4.50, \"rotator_cuffs\": 32.00, \"wrist_flexors\": 4.50, \"biceps_brachii\": 2.50, \"erector_spinae\": 6.00, \"deltoid_anterior\": 19.34, \"latissimus_dorsi\": 2.50, \"trapezius_middle\": 4.50, \"deltoid_posterior\": 2.50, \"serratus_anterior\": 9.00, \"triceps_long_head\": 16.55, \"triceps_medial_head\": 8.11, \"triceps_lateral_head\": 18.77, \"pectoralis_major_sternal\": 33.42, \"pectoralis_major_clavicular\": 4.60}"                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|single_leg_bodyweight_calf_raise             |Standing Single-Leg Bodyweight Calf Raise                      |Bodyweight          |85              |"{\"soleus\": 190.00, \"obliques\": 2.00, \"gastrocnemius\": 160.00, \"gluteus_medius\": 8.00, \"gluteus_minimus\": 2.50, \"tibialis_anterior\": 4.00, \"transverse_abdominis\": 1.50}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|smith_machine_romanian_deadlift              |Smith Machine Romanian Deadlift                                |Smith_Machine       |100             |"{\"obliques\": 4.50, \"wrist_flexors\": 4.00, \"erector_spinae\": 78.00, \"gluteus_medius\": 4.00, \"semitendinosus\": 21.00, \"adductor_magnus\": 63.00, \"gluteus_maximus\": 125.00, \"semimembranosus\": 70.00, \"latissimus_dorsi\": 3.00, \"trapezius_middle\": 2.50, \"transverse_abdominis\": 3.50, \"biceps_femoris_long_head\": 44.00}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|single_arm_dumbbell_row_bench_supported      |Single-Arm Dumbbell Row with Contralateral Hand Bench Support  |Dumbbell            |35              |"{\"obliques\": 18.00, \"rhomboids\": 11.50, \"brachialis\": 24.50, \"teres_major\": 3.40, \"rotator_cuffs\": 10.00, \"wrist_flexors\": 7.50, \"biceps_brachii\": 20.00, \"erector_spinae\": 11.00, \"brachioradialis\": 4.00, \"trapezius_lower\": 5.50, \"trapezius_upper\": 2.30, \"wrist_extensors\": 2.50, \"latissimus_dorsi\": 31.00, \"pectoralis_minor\": 1.60, \"trapezius_middle\": 15.00, \"deltoid_posterior\": 13.00, \"pronators_supinators\": 3.20, \"transverse_abdominis\": 3.00}"                                                                                                                                                                                                                                                                                                                                                                                                    |
